restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude,order_value_mean,order_value_std,product_qnt_mean,product_qnt_std,used_points_qnt_mean,used_points_qnt_std,order_value_mean_Kmean_Cluster,Combined_Cluster,latitude_longitude_Dbscan_Cluster
74221294,Obukhovo,0,2,55.8314658,38.2726971,3.870114006514658,2.934003636558651,127.98534201954398,75.36464910655565,20.64332247557003,538.2567409379733,9,9.0_0.0,0.0
74213274,Odintsovo,4,3,55.678223,37.2668096,3.705979517674265,2.925831437179422,125.65576478361415,74.3070845041165,6.640237859266601,272.6575777535553,2,2.0_0.0,0.0
74220643,Odintsovo,4,0,55.678223,37.2668096,3.034900284900285,2.3428954018247556,123.4017094017094,74.25629095839405,0.0,0.0,4,4.0_0.0,0.0
74021994,Oktyabrsky,0,2,54.4809722,53.4660062,3.6605663648622615,2.8627539032167846,119.52379117703718,75.9977370261781,41.05182045848584,586.6501120442424,2,2.0_-1.0,-1.0
74221565,Omsk,9,3,54.9830067,73.37452243916528,3.295499021526419,2.4604490774737786,123.12937595129375,73.27039131783616,13.35072841922157,422.1571669574497,1,1.0_-1.0,-1.0
74321627,Omsk,9,3,54.9830067,73.37452243916528,2.6858339680121857,2.3557862429668583,116.987052551409,74.13812932930136,8.492003046458493,283.53579235503315,0,0.0_-1.0,-1.0
74213287,Omsk,9,3,54.9830067,73.37452243916528,3.549043549043549,2.6446617560520598,122.92877492877493,74.28702713129056,5.901505901505901,247.38356328224776,2,2.0_1.0,1.0
74213288,Omsk,9,3,54.9830067,73.37452243916528,3.683902957322472,2.5855112382726704,122.95165574641402,73.98760296012496,11.138657694350982,329.98389231478626,2,2.0_1.0,1.0
74213289,Omsk,9,0,54.9830067,73.37452243916528,4.378272251308901,3.2251628793583844,126.12303664921465,73.90512719168645,27.356020942408378,569.6633953235745,5,5.0_-1.0,-1.0
74213291,Omsk,9,0,54.9830067,73.37452243916528,3.6868300153139355,2.8962802774269916,118.3062787136294,74.19463627851783,0.0,0.0,2,2.0_1.0,1.0
74215706,Omsk,9,3,54.9830067,73.37452243916528,3.372703412073491,2.4270852602030333,122.88013998250219,72.28745993897374,19.772528433945755,476.62813495899996,8,8.0_-1.0,-1.0
74216264,Omsk,9,3,54.9830067,73.37452243916528,3.108426749130267,2.302058374848418,121.60726710475454,73.31504404096711,34.42211055276382,568.2901431987559,4,4.0_-1.0,-1.0
