Ресторан,Группа,Метрика before,Метрика after,Изменение метрики,Изменение метрики %
74012019,test,117.91466550497759,124.34163908235027,6.426973577372678,5.45052945691592
74013316,test,123.21315513088294,123.26460410381151,0.05144897292856854,0.04175607131715519
74013320,test,116.89573965548203,121.06663258931978,4.170892933837749,3.5680452907268525
74013324,test,124.23491967092878,124.57220716741455,0.3372874964857715,0.2714917008673347
74013325,test,119.64603320477624,124.802879073232,5.156845868455761,4.3100851155087865
74013410,test,123.34851054626081,122.8438604917624,-0.5046500544984127,-0.4091253735156761
74013411,test,125.12127954836573,128.25164636557963,3.130366817213897,2.501866052291969
74014085,test,120.1475293268029,123.98419227698781,3.836662950184916,3.193293255118997
74014122,test,119.58857663840132,127.17619071994692,7.5876140815455955,6.3447649389524745
74015173,test,118.33788221227267,118.01228894688363,-0.3255932653890454,-0.2751386616882337
74020381,test,126.31133851327073,124.13240942464293,-2.1789290886277968,-1.7250463135570926
74020432,test,122.68256751576881,123.89835132933182,1.2157838135630072,0.9909996490795145
74020442,test,121.20702261723385,123.83707591898519,2.630053301751346,2.169885246712917
74020450,test,122.35352601820694,126.18982019053526,3.836294172328323,3.135417749838659
74020451,test,125.34395139012084,123.95564245330586,-1.3883089368149797,-1.1075994664425437
74020460,test,36.0,118.58792933369205,82.58792933369205,229.41091481581122
74020469,test,121.98499597882004,123.63939703620218,1.6544010573821453,1.3562332351672126
74020474,test,121.55856983418632,121.7562558919519,0.1976860577655799,0.16262617932675283
74020478,test,127.13735856237332,124.86747233153599,-2.2698862308373293,-1.7853809899029227
74020503,test,117.73981028814082,117.3973676394709,-0.34244264866991614,-0.2908469512833997
74020511,test,123.51620335275678,124.97118683751052,1.4549834847537397,1.177969728067476
74020521,test,121.97170444550737,125.18005408027999,3.208349634772617,2.6304048544357217
74020522,test,125.16334708833962,127.83356976988428,2.670222681544658,2.1333902805108185
74020523,test,125.43526334205562,124.26303031596424,-1.1722330260913765,-0.9345322797264405
74020524,test,129.34497299048712,122.98254893591007,-6.362424054577048,-4.918957349076861
74020542,test,120.70073966120127,126.06903196288029,5.36829230167902,4.447605140405477
74020543,test,126.93917165007831,124.00409390463847,-2.935077745439841,-2.3121922943775806
74020581,test,123.57502787012686,123.19472582199819,-0.3803020481286694,-0.30774991896287807
74020588,test,123.36456141612915,117.74925909518859,-5.6153023209405575,-4.551795310161409
74020592,test,124.62310896245866,120.72588305377619,-3.897225908682472,-3.1272096653089188
74020606,test,120.23507772473648,126.39029000349527,6.155212278758782,5.119314924759634
74020615,test,122.53467497612401,123.71756084491186,1.1828858687878494,0.9653478650172581
74020618,test,131.00277751894762,122.80299770904286,-8.199779809904769,-6.2592411895379785
74020647,test,126.88131654487852,120.16459086175213,-6.716725683126384,-5.2937074315040284
74020648,test,126.44098102564158,129.76311040721419,3.3221293815726085,2.6274150632372093
74020660,test,122.82521183215802,127.2561239257478,4.430912093589782,3.607493956244644
74020663,test,123.15939730253027,126.16245777841267,3.003060475882407,2.4383526889999727
74020675,test,126.88565179643325,124.24266167359663,-2.642990122836622,-2.082970048557465
74020676,test,125.00876674894081,127.25718497759492,2.248418228654103,1.7986084393342385
74020682,test,124.57334457607534,124.83232788373893,0.25898330766358413,0.20789624662074183
74020696,test,127.57065534262316,126.58215306915415,-0.9885022734690097,-0.7748665010884656
74020699,test,125.67731424787206,131.47380207088835,5.796487823016292,4.612198993673544
74020701,test,125.49780015032084,125.85633015127272,0.35853000095187326,0.28568628336307667
74020743,test,121.67850373933831,126.26582762208896,4.587323882750653,3.7700364006593086
74020758,test,122.69959466172187,125.77706163330062,3.077466971578744,2.508131326809354
74020763,test,126.32232477012758,127.33466795071604,1.0123431805884593,0.8013968888164857
74020776,test,126.91644764000523,121.27380438558986,-5.6426432544153755,-4.445951142928745
74020777,test,119.33255519110993,123.13359357253302,3.8010383814230835,3.1852484641226004
74020784,test,124.88507814135181,124.06454402631319,-0.820534115038626,-0.6570313501424889
74020799,test,129.91769616445535,124.64343826666065,-5.274257897794698,-4.059691676735336
74020802,test,122.06089740782288,124.79864113637947,2.7377437285565946,2.2429326563194127
74020808,test,126.4796563685647,125.28622203847493,-1.1934343300897723,-0.9435780933908268
74020815,test,131.41410505646456,128.36794481173285,-3.046160244731709,-2.317985762200236
74020816,test,122.86205679251472,125.25208513148716,2.390028338972442,1.9452940975981226
74020871,test,121.27460346254034,121.83393931810082,0.5593358555604766,0.4612143347335256
74020877,test,126.0166581111792,124.85032185520365,-1.1663362559755512,-0.9255413319614791
74020879,test,124.57977183604555,125.89797259282065,1.3182007567750986,1.0581178126653898
74020880,test,127.49052263838331,123.05445019617726,-4.436072442206054,-3.4795311450629316
74020881,test,129.11126507024278,126.22164642483484,-2.8896186454079356,-2.238084061708979
74020883,test,127.55224308646616,122.40409916232862,-5.148143924137543,-4.0361061472260245
74020898,test,124.79776808772559,123.39781973761599,-1.3999483501095966,-1.1217735473646566
74020920,test,123.33405105461286,123.61022252659066,0.2761714719778041,0.22392151203686173
74020952,test,121.02263894533654,120.32897939539231,-0.6936595499442291,-0.5731651168650693
74020987,test,123.29864308514301,121.98346817759153,-1.31517490755148,-1.0666580544956161
74020989,test,120.61048963080742,124.77869101782946,4.168201387022037,3.4559194642033506
74021017,test,117.58796307040546,122.02380835959373,4.435845289188265,3.772363406390767
74021028,test,125.22585872588454,125.46501945128064,0.2391607253961041,0.19098349800069603
74021029,test,129.49512512515324,126.39124554755641,-3.103879577596828,-2.3969084354310786
74021051,test,130.02532450586517,125.14218457214825,-4.883139933716919,-3.7555298956370997
