Метрика,Тип,Канал,ДО test-группы,ДО control-группы,ПОСЛЕ test-группы,ПОСЛЕ control-группы,Разница,Разница %,p_value
orders,mean,orders > 10,2499.7792,2500.4001,2502.41,2500.1566,-2.253442198306402,-0.09013445499689623,0.004457157295033281
orders,mean,orders > 10,2499.7792,2500.4001,2502.41,2500.1566,-2.253442198306402,-0.09013445499689623,6.170796582827265e-05
