restaurant_id,Market Segment,Price Group,Room Type,latitude,longitude,order_value_mean,order_value_std,product_qnt_mean,product_qnt_std,used_points_qnt_mean,used_points_qnt_std,order_value_mean_Kmean_Cluster,Combined_Cluster,latitude_longitude_Dbscan_Cluster,group
74020450,Saint Petersburg,4,0,59.9606739,30.1586551,2.926845415425356,2.183231764916572,124.58126448195962,75.2095247674891,1.9198940748096656,105.52433669014964,7,7.0_4.0,4.0,Control
74020474,Saint Petersburg,4,0,59.9606739,30.1586551,2.8396543446951514,2.035276473767483,122.46375420067211,74.72844158983388,12.8420547287566,394.12338336339377,7,7.0_4.0,4.0,Control
74020521,Saint Petersburg,4,3,59.9606739,30.1586551,2.7426992896606155,1.84629840925268,122.41831097079717,75.17381632255814,10.812943962115233,334.29330408768243,7,7.0_4.0,4.0,Control
74020615,Saint Petersburg,4,4,59.9606739,30.1586551,2.936680901192755,2.1545161933984223,122.5003681342954,74.52922225818116,12.81107347960536,366.02498699629314,7,7.0_4.0,4.0,Control
74020647,Saint Petersburg,4,0,59.9606739,30.1586551,2.8378588052754075,2.0748718331555214,122.75872769588828,76.13568532552347,2.2498060512024827,114.23167291506468,7,7.0_4.0,4.0,Control
74020648,Saint Petersburg,4,0,59.9606739,30.1586551,2.7578108618158943,1.9335257217673685,126.2344306982596,74.32004682170486,2.0549381421681696,141.9098086576403,7,7.0_4.0,4.0,Control
74020784,Saint Petersburg,4,3,59.9606739,30.1586551,2.7569079698561314,1.8992391650186728,124.41333637816854,76.32496930193624,10.070792418360355,324.2108603688717,7,7.0_4.0,4.0,Control
74020877,Saint Petersburg,0,3,59.9606739,30.1586551,2.7605777054515865,2.0069665017201377,124.70056956875509,75.56604064094917,11.655817737998373,349.80655070815243,7,7.0_4.0,4.0,Control
74021089,Saint Petersburg,4,3,59.9606739,30.1586551,2.8060831930752586,2.023672937280013,123.9028612647271,74.97270034345784,6.143303678768935,221.81606321230203,7,7.0_4.0,4.0,Control
74021148,Saint Petersburg,4,3,59.9606739,30.1586551,2.8805297651556527,2.078300112916512,123.42763517203714,75.7381813088144,13.96777717094484,399.7064839387325,7,7.0_4.0,4.0,Control
74021269,Saint Petersburg,4,4,59.9606739,30.1586551,2.947019867549669,2.2342996296327726,129.38767193071828,74.5693308799273,10.137544574630668,259.84024620699495,7,7.0_4.0,4.0,Control
74021274,Saint Petersburg,4,3,59.9606739,30.1586551,2.76193724420191,1.9123793486060228,124.12169167803548,74.547058592162,9.18144611186903,333.05461577318744,7,7.0_4.0,4.0,Control
74021275,Saint Petersburg,4,4,59.9606739,30.1586551,2.936487854251012,2.026901105371725,126.08957489878544,75.18521445303384,5.592105263157895,262.46305788928623,7,7.0_4.0,4.0,Control
74021325,Saint Petersburg,4,3,59.9606739,30.1586551,2.857507443641004,2.116804553120423,123.29817099106764,75.267922449161,5.253083794130157,181.04159200760668,7,7.0_4.0,4.0,Control
74021492,Saint Petersburg,4,0,59.9606739,30.1586551,2.8121493047084654,2.01176110993622,124.3200780678214,73.3093288792496,15.198828982678702,434.7752915721349,7,7.0_4.0,4.0,Control
74021494,Saint Petersburg,0,3,59.9606739,30.1586551,2.7980647875473283,1.911844431328771,124.03982611134484,75.16873649741424,10.082737343991026,318.8656813563352,7,7.0_4.0,4.0,Control
74021591,Saint Petersburg,4,3,59.9606739,30.1586551,2.8159331834243493,1.9540529163028155,127.49759074847414,74.29256446480237,7.067137809187279,253.77124883794565,7,7.0_4.0,4.0,Control
74021593,Saint Petersburg,4,3,59.9606739,30.1586551,2.760392156862745,2.0020189464318743,123.58039215686274,76.2185085085354,8.333333333333334,288.09000131773627,7,7.0_4.0,4.0,Control
