Unnamed: 0,restraunt_id,Market Segment,Price Group,Room Type,latitude,longitude,sum_system_identification_only_showed,avg_system_identification_only_showed,var_system_identification_only_showed,sum_open_auth_count,avg_tap_email_count,sum_tap_sms_count,avg_tap_sms_count,sum_sessions,avg_sessions,var_session,days_with_test,sum_orders,avg_orders,var_orders,Combined_Cluster,Group,sum_auth_orders,avg_auth_orders,var_auth_orders,conversion_rate,auth_conversion_rate,sum_revenue,avg_revenue,avg_product_count,days_with_test_Kmean_Cluster
351,74020660,Moscow,0,0,55.625578,37.6063916,0,0,0,0,0,0,0,9746,129.9466667,1543.997117,75,7026,93.68,807.1394595,1,Test,134,1.786666667,2.953873874,0.720911143,0.01374923045,3328125,44375,3.168348165,0
59,74021462,Bryansk,0,2,53.27896405,34.36589361,0,0,0,0,0,0,0,9749,133.5479452,1254.334475,73,6927,94.89041096,789.4044901,1,Control,125,1.712328767,1.929984779,0.7105344138,0.01282182788,3572146,48933.50685,3.477386522,0
325,74021211,Makhachkala,4,2,42.9830241,47.5048717,0,0,0,0,0,0,0,12580,167.7333333,4492.81982,75,7217,96.22666667,2292.799279,1,Control,31,0.4133333333,0.5700900901,0.5736883943,0.002464228935,5214987,73450.52113,5.342829944,0
615,74021880,Nadym,0,3,65.532,72.52,0,0,0,0,0,0,0,12091,161.2133333,4753.980901,75,7452,99.36,1760.179459,1,Test,130,1.733333333,1.927927928,0.616326193,0.01075179886,5520605,73608.06667,3.457266315,0
28,74220627,Balashikha,0,2,55.7997662,37.9373707,0,0,0,0,0,0,0,9932,132.4266667,963.2209009,75,7478,99.70666667,595.9127928,1,Control,161,2.146666667,1.910630631,0.752919855,0.01621022956,4327777,57703.69333,3.824852132,0
288,74021105,Krymsk,5,4,44.9295889,37.9880177,0,0,0,0,0,0,0,11007,146.76,2025.59027,75,7572,100.96,1177.822703,1,Test,79,1.053333333,1.186306306,0.6879258654,0.00717725084,5137846,69430.35135,4.065755253,0
735,74021978,Orenburg,4,4,51.7671248,55.0978517,0,0,0,0,0,0,0,13993,186.5733333,3933.68036,75,9859,131.4533333,1974.17009,2,Test,98,1.306666667,1.377657658,0.704566569,0.007003501751,5695773,75943.64,3.74160753,0
35,74221472,Balashikha,0,4,55.7997662,37.9373707,0,0,0,0,0,0,0,13680,182.4,1302.351351,75,9871,131.6133333,894.3754955,2,Control,161,2.146666667,2.153873874,0.7215643275,0.01176900585,4742632,63235.09333,3.320496586,0
958,74020908,Shakhovskaya,0,3,56.031464,35.5102036,0,0,0,0,0,0,0,12883,171.7733333,1709.664144,75,9921,132.28,1366.258378,2,Control,107,1.426666667,1.383063063,0.7700846076,0.008305518901,5245842,69944.56,4.153935053,0
377,74020871,Moscow,0,3,55.625578,37.6063916,0,0,0,0,0,0,0,12777,172.6621622,1132.582932,74,9838,132.9459459,763.6134765,2,Test,185,2.5,3.130136986,0.769977303,0.01447914221,4703932,63566.64865,3.159527985,0
