restraunt_id,days_with_test,sum_system_identification_only_showed,avg_system_identification_only_showed,var_system_identification_only_showed,sum_open_auth_count,avg_tap_email_count,sum_tap_sms_count,avg_tap_sms_count,sum_sessions,avg_sessions,var_session,sum_orders,avg_orders,var_orders,sum_auth_orders,avg_auth_orders,var_auth_orders,conversion_rate,auth_conversion_rate,sum_revenue,avg_revenue,avg_product_count
74021095,75,0,0.0,0.0,0,0.0,0,0.0,138991,1853.2133333333334,81605.359279279277,99626,1328.3466666666666,39837.472792792811,1230,16.4,28.0,0.71678022317991807,0.0088494938521199214,38982027.0,519760.36000000016,2.6213351324878538
74020789,75,0,0.0,0.0,0,0.0,0,0.0,53761,716.81333333333339,11595.451171171171,41390,551.86666666666656,8623.9549549549556,731,9.7466666666666661,15.651171171171171,0.76988895295846427,0.013597217313666041,18597892.0,247971.89333333337,3.1843496461006016
74321670,75,0,0.0,0.0,0,0.0,0,0.0,80326,1071.0133333333333,48568.283603603581,58843,784.57333333333327,35812.626306306309,1079,14.386666666666667,24.429549549549556,0.73255234917710332,0.013432761496900132,22790624.0,303874.98666666663,2.7679468220594576
74013318,75,0,0.0,0.0,0,0.0,0,0.0,38466,512.88000000000011,11137.566486486488,28635,381.8,7311.5135135135151,640,8.5333333333333332,10.684684684684685,0.7444236468569646,0.01663806998388187,11582759.0,154436.78666666665,2.8155088606955481
74321673,75,0,0.0,0.0,0,0.0,0,0.0,35045,467.26666666666671,4031.9279279279281,26419,352.25333333333333,2294.8133333333349,572,7.626666666666666,9.2371171171171174,0.75385932372663722,0.016321871879012698,11461305.0,152817.40000000002,2.9554320499686826
74013266,75,0,0.0,0.0,0,0.0,0,0.0,133089,1774.52,26117.712432432429,69002,920.02666666666664,20496.78306306306,1612,21.493333333333332,48.199279279279288,0.51846508727242668,0.012112195598434131,29520086.0,393601.14666666673,3.0111722603910693
74013270,75,0,0.0,0.0,0,0.0,0,0.0,77687,1035.8266666666666,19540.037117117117,58868,784.90666666666675,14165.5181981982,1469,19.58666666666667,29.299819819819824,0.7577586983665221,0.018909212609574316,26284044.0,350453.92000000004,3.002943211890059
74021102,75,0,0.0,0.0,0,0.0,0,0.0,15244,203.25333333333333,1558.9754954954951,11723,156.30666666666667,1244.5398198198197,121,1.6133333333333333,1.7809009009009009,0.76902387824717922,0.0079375491996851212,5693396.0,75911.946666666656,3.43689012951586
74021399,75,0,0.0,0.0,0,0.0,0,0.0,34901,465.34666666666664,22571.526846846849,25016,333.54666666666668,17228.899819819824,344,4.5866666666666669,28.570090090090087,0.71677029311481044,0.009856451104552879,13173058.0,175640.77333333335,3.1592385393626503
74021740,75,0,0.0,0.0,0,0.0,0,0.0,13228,176.37333333333333,1799.9398198198205,9481,126.41333333333334,989.380900900901,201,2.68,3.0854054054054054,0.71673722407015417,0.015195040822497731,5179018.0,69053.573333333334,3.7427844882313726
74021686,75,0,0.0,0.0,0,0.0,0,0.0,46899,625.31999999999982,11139.76108108108,35068,467.57333333333338,7161.8695495495494,536,7.1466666666666665,9.207927927927928,0.74773449327277763,0.011428815113328642,13626912.0,181692.16,2.8128437061714382
