,Fact ID,Market Segment,Price Group,Room Type,latitude,longitude,action_order_success,action_order_success_std,conversion_rate_total
0,74020442,Moscow,0,3,55.7505412,37.6174782,48335,222.63743622688293,0.763230750764122
1,74020460,Moscow,0,4,55.7505412,37.6174782,3873,24.786532067752063,0.7670595029964052
2,74020477,Moscow,5,3,55.7505412,37.6174782,73563,313.1454447199769,0.6847628088679789
3,74020566,Moscow,0,0,55.7505412,37.6174782,10442,49.31909170917023,0.7898298259181622
4,74020588,Moscow,0,3,55.7505412,37.6174782,54841,266.23457639320935,0.8141673246523915
5,74020592,Moscow,0,3,55.7505412,37.6174782,28885,195.28867443911415,0.7656327835767814
6,74020611,Moscow,0,0,55.7505412,37.6174782,21518,103.11299675720142,0.8659204175645394
7,74020675,Moscow,0,0,55.7505412,37.6174782,22082,130.3578441539577,0.8655380502273535
8,74020676,Moscow,4,0,55.7505412,37.6174782,9298,45.59803809040731,0.796470460614995
9,74020677,Moscow,4,0,55.7505412,37.6174782,24980,233.72966957910677,0.7428860739720503
10,74020678,Moscow,0,3,55.7505412,37.6174782,13618,76.52083766198086,0.8140668753736869
11,74020660,Moscow,0,0,55.7505412,37.6174782,5673,49.46394981021094,0.6765487556167262
12,74020655,Moscow,4,3,55.7505412,37.6174782,15573,77.3611052241613,0.7810839075821268
13,74020670,Moscow,4,4,55.7505412,37.6174782,11183,57.485227480163246,0.7638682468164858
14,74020682,Moscow,0,0,55.7505412,37.6174782,38282,251.51702259815656,0.8167556639288153
15,74020681,Moscow,0,0,55.7505412,37.6174782,20812,175.8401333776384,0.7572760395270407
16,74020696,Moscow,4,3,55.7505412,37.6174782,8928,42.62193917747197,0.7764433383514737
17,74020701,Moscow,4,0,55.7505412,37.6174782,8077,69.05431736587633,0.6620002293364246
18,74020699,Moscow,4,3,55.7505412,37.6174782,7192,41.395359818901696,0.669563266743825
19,74020712,Moscow,4,3,55.7505412,37.6174782,31534,142.07354955694345,0.7763907472020476
20,74020740,Moscow,4,0,55.7505412,37.6174782,23296,128.37249996345466,0.7359493683395818
21,74020743,Moscow,0,3,55.7505412,37.6174782,23064,100.43612603806378,0.7333319910733391
22,74020746,Moscow,4,3,55.7505412,37.6174782,18208,94.50340461438029,0.7178182194355183
23,74020757,Moscow,4,3,55.7505412,37.6174782,11986,55.43295641260353,0.7386308743541007
24,74020758,Moscow,0,0,55.7505412,37.6174782,6547,64.4616271780826,0.7280719516809336
25,74020763,Moscow,4,0,55.7505412,37.6174782,8558,35.307040271478854,0.7661167331219398
26,74020776,Moscow,4,3,55.7505412,37.6174782,7783,39.86811748728486,0.6958747074123592
27,74020764,Moscow,4,3,55.7505412,37.6174782,27733,123.87927161085945,0.7298662687800399
28,74020789,Moscow,4,3,55.7505412,37.6174782,30041,132.82829476329317,0.7569979772887228
29,74020793,Moscow,4,3,55.7505412,37.6174782,18607,82.78889192739818,0.7521735605023373
30,74020795,Moscow,4,3,55.7505412,37.6174782,30457,131.49705772554833,0.7591167722621568
31,74020799,Moscow,4,4,55.7505412,37.6174782,4930,28.86243406663109,0.7347485765458494
32,74020802,Moscow,4,3,55.7505412,37.6174782,9482,46.892921803703175,0.7132851754544973
33,74020828,Moscow,0,3,55.7505412,37.6174782,18180,90.8946448706711,0.7801635159328577
